travelCode,userCode_x,from,to,flightType,price_x,time,distance,agency,date_x,userCode_y,name_x,place,days,price_y,total,date_y,company,name_y,gender,age
39,0,Brasilia (DF),Salvador (BH),economic,958.15,1.76,676.56,CloudFy,06/25/2020,0,Hotel K,Salvador (BH),1,263.41,263.41,06/25/2020,4You,Billie Dwight,female,48
39,0,Salvador (BH),Brasilia (DF),economic,587.85,1.76,676.56,CloudFy,06/26/2020,0,Hotel K,Salvador (BH),1,263.41,263.41,06/25/2020,4You,Billie Dwight,female,48
42,0,Recife (PE),Campo Grande (MS),premium,832.77,1.39,535.4,Rainbow,07/16/2020,0,Hotel BW,Campo Grande (MS),3,60.39,181.17,07/16/2020,4You,Robert Collins,male,61
42,0,Campo Grande (MS),Recife (PE),premium,991.22,1.39,535.4,Rainbow,07/19/2020,0,Hotel BW,Campo Grande (MS),3,60.39,181.17,07/16/2020,4You,Robert Collins,male,61
43,0,Recife (PE),Salvador (BH),firstClass,1484.94,2.05,788.55,CloudFy,07/23/2020,0,Hotel K,Salvador (BH),4,263.41,1053.64,07/23/2020,4You,Louise James,female,24
43,0,Salvador (BH),Recife (PE),firstClass,1440.02,2.05,788.55,CloudFy,07/27/2020,0,Hotel K,Salvador (BH),4,263.41,1053.64,07/23/2020,4You,Louise James,female,24
45,0,Recife (PE),Natal (RN),premium,474.6,0.58,222.67,CloudFy,08/06/2020,0,Hotel BD,Natal (RN),1,242.88,242.88,08/06/2020,4You,Margaret Paul,female,54
45,0,Natal (RN),Recife (PE),premium,563.23,0.58,222.67,CloudFy,08/07/2020,0,Hotel BD,Natal (RN),1,242.88,242.88,08/06/2020,4You,Margaret Paul,female,54
51,0,Recife (PE),Salvador (BH),premium,1242.65,2.05,788.55,CloudFy,09/17/2020,0,Hotel K,Salvador (BH),1,263.41,263.41,09/17/2020,4You,Jenell Torbus,female,39
51,0,Salvador (BH),Recife (PE),premium,1016.53,2.05,788.55,CloudFy,09/18/2020,0,Hotel K,Salvador (BH),1,263.41,263.41,09/17/2020,4You,Jenell Torbus,female,39
53,0,Brasilia (DF),Campo Grande (MS),premium,831.7,0.72,277.7,CloudFy,10/01/2020,0,Hotel BW,Campo Grande (MS),2,60.39,120.78,10/01/2020,4You,Carol Dixon,female,23
53,0,Campo Grande (MS),Brasilia (DF),premium,661.32,0.72,277.7,CloudFy,10/03/2020,0,Hotel BW,Campo Grande (MS),2,60.39,120.78,10/01/2020,4You,Carol Dixon,female,23
54,0,Aracaju (SE),Sao Paulo (SP),firstClass,730.43,1.02,392.76,CloudFy,10/08/2020,0,Hotel AF,Sao Paulo (SP),3,139.1,417.3,10/08/2020,4You,Dorothea Delaney,female,21
54,0,Sao Paulo (SP),Aracaju (SE),firstClass,1186.15,1.02,392.76,CloudFy,10/11/2020,0,Hotel AF,Sao Paulo (SP),3,139.1,417.3,10/08/2020,4You,Dorothea Delaney,female,21
55,0,Recife (PE),Florianopolis (SC),firstClass,1371.83,1.76,676.53,Rainbow,10/15/2020,0,Hotel A,Florianopolis (SC),2,313.02,626.04,10/15/2020,4You,Ivory Shiner,none,38
55,0,Florianopolis (SC),Recife (PE),firstClass,1175.62,1.76,676.53,Rainbow,10/17/2020,0,Hotel A,Florianopolis (SC),2,313.02,626.04,10/15/2020,4You,Ivory Shiner,none,38
57,0,Recife (PE),Aracaju (SE),premium,932.84,1.44,555.74,CloudFy,10/29/2020,0,Hotel Z,Aracaju (SE),4,208.04,832.16,10/29/2020,4You,Dorothy Dyson,female,32
57,0,Aracaju (SE),Recife (PE),premium,835.21,1.44,555.74,CloudFy,11/02/2020,0,Hotel Z,Aracaju (SE),4,208.04,832.16,10/29/2020,4You,Dorothy Dyson,female,32
60,0,Brasilia (DF),Aracaju (SE),firstClass,1214.82,1.11,425.98,Rainbow,11/19/2020,0,Hotel Z,Aracaju (SE),4,208.04,832.16,11/19/2020,4You,Fred Moreta,male,47
60,0,Aracaju (SE),Brasilia (DF),firstClass,959.29,1.11,425.98,Rainbow,11/23/2020,0,Hotel Z,Aracaju (SE),4,208.04,832.16,11/19/2020,4You,Fred Moreta,male,47
65,0,Aracaju (SE),Rio de Janeiro (RJ),economic,717.04,1.55,597.61,CloudFy,12/24/2020,0,Hotel CB,Rio de Janeiro (RJ),1,165.99,165.99,12/24/2020,4You,Christina Law,none,51
65,0,Rio de Janeiro (RJ),Aracaju (SE),economic,796.42,1.55,597.61,CloudFy,12/25/2020,0,Hotel CB,Rio de Janeiro (RJ),1,165.99,165.99,12/24/2020,4You,Christina Law,none,51
73,0,Aracaju (SE),Brasilia (DF),firstClass,898.04,1.11,425.98,FlyingDrops,02/18/2021,0,Hotel BP,Brasilia (DF),4,247.62,990.48,02/18/2021,4You,Melissa Emch,female,46
73,0,Brasilia (DF),Aracaju (SE),firstClass,1287.52,1.11,425.98,FlyingDrops,02/22/2021,0,Hotel BP,Brasilia (DF),4,247.62,990.48,02/18/2021,4You,Melissa Emch,female,46
81,0,Brasilia (DF),Natal (RN),economic,726.19,1.43,550.69,Rainbow,04/15/2021,0,Hotel BD,Natal (RN),4,242.88,971.52,04/15/2021,4You,Angela Hill,female,21
81,0,Natal (RN),Brasilia (DF),economic,686.79,1.43,550.69,Rainbow,04/19/2021,0,Hotel BD,Natal (RN),4,242.88,971.52,04/15/2021,4You,Angela Hill,female,21
86,0,Aracaju (SE),Sao Paulo (SP),premium,588.14,1.02,392.76,Rainbow,05/20/2021,0,Hotel AF,Sao Paulo (SP),3,139.1,417.3,05/20/2021,4You,Audrey Atwood,female,30
86,0,Sao Paulo (SP),Aracaju (SE),premium,962.54,1.02,392.76,Rainbow,05/23/2021,0,Hotel AF,Sao Paulo (SP),3,139.1,417.3,05/20/2021,4You,Audrey Atwood,female,30
87,0,Brasilia (DF),Recife (PE),firstClass,804.24,0.63,242.21,CloudFy,05/27/2021,0,Hotel AU,Recife (PE),1,312.83,312.83,05/27/2021,4You,Marie Bowyer,female,30
87,0,Recife (PE),Brasilia (DF),firstClass,709.25,0.63,242.21,CloudFy,05/28/2021,0,Hotel AU,Recife (PE),1,312.83,312.83,05/27/2021,4You,Marie Bowyer,female,30
90,1,Aracaju (SE),Sao Paulo (SP),premium,630.34,1.02,392.76,CloudFy,10/03/2019,1,Hotel AF,Sao Paulo (SP),1,139.1,139.1,10/03/2019,4You,Juan Naone,none,39
90,1,Sao Paulo (SP),Aracaju (SE),premium,906.59,1.02,392.76,CloudFy,10/04/2019,1,Hotel AF,Sao Paulo (SP),1,139.1,139.1,10/03/2019,4You,Juan Naone,none,39
92,1,Recife (PE),Brasilia (DF),premium,638.63,0.63,242.21,Rainbow,10/17/2019,1,Hotel BP,Brasilia (DF),1,247.62,247.62,10/17/2019,4You,Donna Day,female,43
92,1,Brasilia (DF),Recife (PE),premium,559.13,0.63,242.21,Rainbow,10/18/2019,1,Hotel BP,Brasilia (DF),1,247.62,247.62,10/17/2019,4You,Donna Day,female,43
100,2,Brasilia (DF),Rio de Janeiro (RJ),economic,344.26,0.48,183.37,CloudFy,10/31/2019,2,Hotel CB,Rio de Janeiro (RJ),4,165.99,663.96,10/31/2019,4You,Carla Puskar,female,36
100,2,Rio de Janeiro (RJ),Brasilia (DF),economic,369.57,0.48,183.37,CloudFy,11/04/2019,2,Hotel CB,Rio de Janeiro (RJ),4,165.99,663.96,10/31/2019,4You,Carla Puskar,female,36
101,2,Aracaju (SE),Campo Grande (MS),economic,743.54,1.69,650.1,Rainbow,11/07/2019,2,Hotel BW,Campo Grande (MS),3,60.39,181.17,11/07/2019,4You,James Banks,male,59
101,2,Campo Grande (MS),Aracaju (SE),economic,877.56,1.69,650.1,Rainbow,11/10/2019,2,Hotel BW,Campo Grande (MS),3,60.39,181.17,11/07/2019,4You,James Banks,male,59
105,2,Brasilia (DF),Aracaju (SE),economic,654.88,1.11,425.98,CloudFy,12/05/2019,2,Hotel Z,Aracaju (SE),4,208.04,832.16,12/05/2019,4You,Richard Haugen,male,31
105,2,Aracaju (SE),Brasilia (DF),economic,472.72,1.11,425.98,CloudFy,12/09/2019,2,Hotel Z,Aracaju (SE),4,208.04,832.16,12/05/2019,4You,Richard Haugen,male,31
108,2,Brasilia (DF),Recife (PE),firstClass,804.24,0.63,242.21,CloudFy,12/26/2019,2,Hotel AU,Recife (PE),3,312.83,938.49,12/26/2019,4You,Becky Gonzalez,female,58
108,2,Recife (PE),Brasilia (DF),firstClass,709.25,0.63,242.21,CloudFy,12/29/2019,2,Hotel AU,Recife (PE),3,312.83,938.49,12/26/2019,4You,Becky Gonzalez,female,58
109,2,Aracaju (SE),Campo Grande (MS),firstClass,1389.37,1.69,650.1,CloudFy,01/02/2020,2,Hotel BW,Campo Grande (MS),2,60.39,120.78,01/02/2020,4You,Maria Averitt,female,24
109,2,Campo Grande (MS),Aracaju (SE),firstClass,1581.8,1.69,650.1,CloudFy,01/04/2020,2,Hotel BW,Campo Grande (MS),2,60.39,120.78,01/02/2020,4You,Maria Averitt,female,24
110,2,Recife (PE),Salvador (BH),premium,1242.65,2.05,788.55,CloudFy,01/09/2020,2,Hotel K,Salvador (BH),1,263.41,263.41,01/09/2020,4You,Frank Leung,none,54
110,2,Salvador (BH),Recife (PE),premium,1016.53,2.05,788.55,CloudFy,01/10/2020,2,Hotel K,Salvador (BH),1,263.41,263.41,01/09/2020,4You,Frank Leung,none,54
112,2,Brasilia (DF),Sao Paulo (SP),premium,698.1,0.67,257.81,CloudFy,01/23/2020,2,Hotel AF,Sao Paulo (SP),4,139.1,556.4,01/23/2020,4You,Michael Benincase,male,53
112,2,Sao Paulo (SP),Brasilia (DF),premium,602.12,0.67,257.81,CloudFy,01/27/2020,2,Hotel AF,Sao Paulo (SP),4,139.1,556.4,01/23/2020,4You,Michael Benincase,male,53
116,2,Aracaju (SE),Campo Grande (MS),economic,743.54,1.69,650.1,Rainbow,02/20/2020,2,Hotel BW,Campo Grande (MS),4,60.39,241.56,02/20/2020,4You,Shawn Pennachio,male,59
116,2,Campo Grande (MS),Aracaju (SE),economic,877.56,1.69,650.1,Rainbow,02/24/2020,2,Hotel BW,Campo Grande (MS),4,60.39,241.56,02/20/2020,4You,Shawn Pennachio,male,59
117,2,Aracaju (SE),Recife (PE),economic,602.49,1.44,555.74,Rainbow,02/27/2020,2,Hotel AU,Recife (PE),2,312.83,625.66,02/27/2020,4You,Maurice Creasey,none,38
117,2,Recife (PE),Aracaju (SE),economic,663.23,1.44,555.74,Rainbow,02/29/2020,2,Hotel AU,Recife (PE),2,312.83,625.66,02/27/2020,4You,Maurice Creasey,none,38
119,2,Aracaju (SE),Salvador (BH),firstClass,1723.71,2.16,830.86,Rainbow,03/12/2020,2,Hotel K,Salvador (BH),2,263.41,526.82,03/12/2020,4You,Justin Bedard,male,38
119,2,Salvador (BH),Aracaju (SE),firstClass,1520.02,2.16,830.86,Rainbow,03/14/2020,2,Hotel K,Salvador (BH),2,263.41,526.82,03/12/2020,4You,Justin Bedard,male,38
122,2,Aracaju (SE),Florianopolis (SC),premium,1174.97,2.1,808.85,CloudFy,04/02/2020,2,Hotel A,Florianopolis (SC),4,313.02,1252.08,04/02/2020,4You,Shannon Crosley,none,56
122,2,Florianopolis (SC),Aracaju (SE),premium,1149.53,2.1,808.85,CloudFy,04/06/2020,2,Hotel A,Florianopolis (SC),4,313.02,1252.08,04/02/2020,4You,Shannon Crosley,none,56
124,2,Recife (PE),Aracaju (SE),firstClass,1181.19,1.44,555.74,Rainbow,04/16/2020,2,Hotel Z,Aracaju (SE),3,208.04,624.12,04/16/2020,4You,Rae Austin,female,54
124,2,Aracaju (SE),Recife (PE),firstClass,1119.47,1.44,555.74,Rainbow,04/19/2020,2,Hotel Z,Aracaju (SE),3,208.04,624.12,04/16/2020,4You,Rae Austin,female,54
125,2,Recife (PE),Campo Grande (MS),premium,793.15,1.39,535.4,CloudFy,04/23/2020,2,Hotel BW,Campo Grande (MS),2,60.39,120.78,04/23/2020,4You,Marshall Knight,male,61
125,2,Campo Grande (MS),Recife (PE),premium,959.91,1.39,535.4,CloudFy,04/25/2020,2,Hotel BW,Campo Grande (MS),2,60.39,120.78,04/23/2020,4You,Marshall Knight,male,61
135,2,Aracaju (SE),Rio de Janeiro (RJ),economic,717.04,1.55,597.61,CloudFy,07/02/2020,2,Hotel CB,Rio de Janeiro (RJ),1,165.99,165.99,07/02/2020,4You,Jeanna Davis,female,45
135,2,Rio de Janeiro (RJ),Aracaju (SE),economic,796.42,1.55,597.61,CloudFy,07/03/2020,2,Hotel CB,Rio de Janeiro (RJ),1,165.99,165.99,07/02/2020,4You,Jeanna Davis,female,45
137,2,Recife (PE),Florianopolis (SC),firstClass,1371.83,1.76,676.53,Rainbow,07/16/2020,2,Hotel A,Florianopolis (SC),3,313.02,939.06,07/16/2020,4You,Brittany Brahler,none,60
137,2,Florianopolis (SC),Recife (PE),firstClass,1175.62,1.76,676.53,Rainbow,07/19/2020,2,Hotel A,Florianopolis (SC),3,313.02,939.06,07/16/2020,4You,Brittany Brahler,none,60
150,2,Brasilia (DF),Aracaju (SE),firstClass,1214.82,1.11,425.98,Rainbow,10/15/2020,2,Hotel Z,Aracaju (SE),2,208.04,416.08,10/15/2020,4You,Catherine Michael,none,39
150,2,Aracaju (SE),Brasilia (DF),firstClass,959.29,1.11,425.98,Rainbow,10/17/2020,2,Hotel Z,Aracaju (SE),2,208.04,416.08,10/15/2020,4You,Catherine Michael,none,39
153,2,Aracaju (SE),Campo Grande (MS),premium,1021.53,1.69,650.1,CloudFy,11/05/2020,2,Hotel BW,Campo Grande (MS),4,60.39,241.56,11/05/2020,4You,Tona Buri,female,65
153,2,Campo Grande (MS),Aracaju (SE),premium,1215.45,1.69,650.1,CloudFy,11/09/2020,2,Hotel BW,Campo Grande (MS),4,60.39,241.56,11/05/2020,4You,Tona Buri,female,65
156,2,Recife (PE),Brasilia (DF),firstClass,697.22,0.63,242.21,FlyingDrops,11/26/2020,2,Hotel BP,Brasilia (DF),2,247.62,495.24,11/26/2020,4You,Shannon Buitron,female,53
156,2,Brasilia (DF),Recife (PE),firstClass,691.39,0.63,242.21,FlyingDrops,11/28/2020,2,Hotel BP,Brasilia (DF),2,247.62,495.24,11/26/2020,4You,Shannon Buitron,female,53
160,2,Recife (PE),Campo Grande (MS),economic,563.71,1.39,535.4,CloudFy,12/24/2020,2,Hotel BW,Campo Grande (MS),2,60.39,120.78,12/24/2020,4You,Juan Stevenson,none,43
160,2,Campo Grande (MS),Recife (PE),economic,659.43,1.39,535.4,CloudFy,12/26/2020,2,Hotel BW,Campo Grande (MS),2,60.39,120.78,12/24/2020,4You,Juan Stevenson,none,43
165,2,Recife (PE),Natal (RN),firstClass,633.71,0.58,222.67,FlyingDrops,01/28/2021,2,Hotel BD,Natal (RN),3,242.88,728.64,01/28/2021,4You,Christine Burlingham,none,62
165,2,Natal (RN),Recife (PE),firstClass,694.42,0.58,222.67,FlyingDrops,01/31/2021,2,Hotel BD,Natal (RN),3,242.88,728.64,01/28/2021,4You,Christine Burlingham,none,62
177,2,Brasilia (DF),Aracaju (SE),premium,965.62,1.11,425.98,Rainbow,04/22/2021,2,Hotel Z,Aracaju (SE),2,208.04,416.08,04/22/2021,4You,Brent Jaynes,male,55
177,2,Aracaju (SE),Brasilia (DF),premium,706.36,1.11,425.98,Rainbow,04/24/2021,2,Hotel Z,Aracaju (SE),2,208.04,416.08,04/22/2021,4You,Brent Jaynes,male,55
180,2,Aracaju (SE),Campo Grande (MS),premium,1116.83,1.69,650.1,Rainbow,05/13/2021,2,Hotel BW,Campo Grande (MS),3,60.39,181.17,05/13/2021,4You,William Prahm,male,27
180,2,Campo Grande (MS),Aracaju (SE),premium,1146.95,1.69,650.1,Rainbow,05/16/2021,2,Hotel BW,Campo Grande (MS),3,60.39,181.17,05/13/2021,4You,William Prahm,male,27
187,2,Recife (PE),Aracaju (SE),premium,932.84,1.44,555.74,CloudFy,07/01/2021,2,Hotel Z,Aracaju (SE),3,208.04,624.12,07/01/2021,4You,Merle Gravatt,male,59
187,2,Aracaju (SE),Recife (PE),premium,835.21,1.44,555.74,CloudFy,07/04/2021,2,Hotel Z,Aracaju (SE),3,208.04,624.12,07/01/2021,4You,Merle Gravatt,male,59
188,2,Brasilia (DF),Sao Paulo (SP),premium,750.0,0.67,257.81,Rainbow,07/08/2021,2,Hotel AF,Sao Paulo (SP),2,139.1,278.2,07/08/2021,4You,Donald Kingsley,male,24
188,2,Sao Paulo (SP),Brasilia (DF),premium,586.06,0.67,257.81,Rainbow,07/10/2021,2,Hotel AF,Sao Paulo (SP),2,139.1,278.2,07/08/2021,4You,Donald Kingsley,male,24
189,2,Aracaju (SE),Salvador (BH),firstClass,1723.71,2.16,830.86,Rainbow,07/15/2021,2,Hotel K,Salvador (BH),4,263.41,1053.64,07/15/2021,4You,Nicholas Goodman,male,31
189,2,Salvador (BH),Aracaju (SE),firstClass,1520.02,2.16,830.86,Rainbow,07/19/2021,2,Hotel K,Salvador (BH),4,263.41,1053.64,07/15/2021,4You,Nicholas Goodman,male,31
192,2,Brasilia (DF),Florianopolis (SC),economic,884.94,1.66,637.56,CloudFy,08/05/2021,2,Hotel A,Florianopolis (SC),4,313.02,1252.08,08/05/2021,4You,Jordan Williams,male,41
192,2,Florianopolis (SC),Brasilia (DF),economic,636.51,1.66,637.56,CloudFy,08/09/2021,2,Hotel A,Florianopolis (SC),4,313.02,1252.08,08/05/2021,4You,Jordan Williams,male,41
197,2,Brasilia (DF),Florianopolis (SC),premium,1222.24,1.66,637.56,Rainbow,09/09/2021,2,Hotel A,Florianopolis (SC),3,313.02,939.06,09/09/2021,4You,Roger Chavers,male,23
197,2,Florianopolis (SC),Brasilia (DF),premium,814.55,1.66,637.56,Rainbow,09/12/2021,2,Hotel A,Florianopolis (SC),3,313.02,939.06,09/09/2021,4You,Roger Chavers,male,23
201,2,Aracaju (SE),Florianopolis (SC),firstClass,1582.41,2.1,808.85,Rainbow,10/07/2021,2,Hotel A,Florianopolis (SC),2,313.02,626.04,10/07/2021,4You,Emerson Martindale,male,41
201,2,Florianopolis (SC),Aracaju (SE),firstClass,1582.1,2.1,808.85,Rainbow,10/09/2021,2,Hotel A,Florianopolis (SC),2,313.02,626.04,10/07/2021,4You,Emerson Martindale,male,41
205,2,Brasilia (DF),Rio de Janeiro (RJ),firstClass,539.39,0.48,183.37,FlyingDrops,11/04/2021,2,Hotel CB,Rio de Janeiro (RJ),2,165.99,331.98,11/04/2021,4You,Kelley Bradford,none,24
205,2,Rio de Janeiro (RJ),Brasilia (DF),firstClass,591.19,0.48,183.37,FlyingDrops,11/06/2021,2,Hotel CB,Rio de Janeiro (RJ),2,165.99,331.98,11/04/2021,4You,Kelley Bradford,none,24
211,2,Recife (PE),Aracaju (SE),economic,663.23,1.44,555.74,Rainbow,12/16/2021,2,Hotel Z,Aracaju (SE),3,208.04,624.12,12/16/2021,4You,Jessica Shepard,female,57
211,2,Aracaju (SE),Recife (PE),economic,602.49,1.44,555.74,Rainbow,12/19/2021,2,Hotel Z,Aracaju (SE),3,208.04,624.12,12/16/2021,4You,Jessica Shepard,female,57
213,2,Brasilia (DF),Salvador (BH),economic,921.08,1.76,676.56,Rainbow,12/30/2021,2,Hotel K,Salvador (BH),3,263.41,790.23,12/30/2021,4You,Paulette Olney,female,44
213,2,Salvador (BH),Brasilia (DF),economic,609.83,1.76,676.56,Rainbow,01/02/2022,2,Hotel K,Salvador (BH),3,263.41,790.23,12/30/2021,4You,Paulette Olney,female,44
214,2,Aracaju (SE),Recife (PE),economic,604.14,1.44,555.74,CloudFy,01/06/2022,2,Hotel AU,Recife (PE),1,312.83,312.83,01/06/2022,4You,Bernice Martinez,female,62
214,2,Recife (PE),Aracaju (SE),economic,684.88,1.44,555.74,CloudFy,01/07/2022,2,Hotel AU,Recife (PE),1,312.83,312.83,01/06/2022,4You,Bernice Martinez,female,62
219,2,Brasilia (DF),Florianopolis (SC),economic,889.07,1.66,637.56,Rainbow,02/10/2022,2,Hotel A,Florianopolis (SC),2,313.02,626.04,02/10/2022,4You,Delia Romero,none,59
219,2,Florianopolis (SC),Brasilia (DF),economic,555.01,1.66,637.56,Rainbow,02/12/2022,2,Hotel A,Florianopolis (SC),2,313.02,626.04,02/10/2022,4You,Delia Romero,none,59
221,2,Aracaju (SE),Salvador (BH),economic,943.36,2.16,830.86,Rainbow,02/24/2022,2,Hotel K,Salvador (BH),1,263.41,263.41,02/24/2022,4You,Ruth Nava,female,58
221,2,Salvador (BH),Aracaju (SE),economic,826.02,2.16,830.86,Rainbow,02/25/2022,2,Hotel K,Salvador (BH),1,263.41,263.41,02/24/2022,4You,Ruth Nava,female,58
224,2,Aracaju (SE),Brasilia (DF),premium,755.62,1.11,425.98,CloudFy,03/17/2022,2,Hotel BP,Brasilia (DF),3,247.62,742.86,03/17/2022,4You,Lucille Merkle,female,65
224,2,Brasilia (DF),Aracaju (SE),premium,987.07,1.11,425.98,CloudFy,03/20/2022,2,Hotel BP,Brasilia (DF),3,247.62,742.86,03/17/2022,4You,Lucille Merkle,female,65
225,2,Brasilia (DF),Natal (RN),premium,1067.3,1.43,550.69,CloudFy,03/24/2022,2,Hotel BD,Natal (RN),4,242.88,971.52,03/24/2022,4You,Carol Tinkham,none,35
225,2,Natal (RN),Brasilia (DF),premium,898.46,1.43,550.69,CloudFy,03/28/2022,2,Hotel BD,Natal (RN),4,242.88,971.52,03/24/2022,4You,Carol Tinkham,none,35
233,3,Brasilia (DF),Florianopolis (SC),firstClass,1569.65,1.66,637.56,FlyingDrops,11/14/2019,3,Hotel A,Florianopolis (SC),2,313.02,626.04,11/14/2019,4You,Anna Broyles,female,63
233,3,Florianopolis (SC),Brasilia (DF),firstClass,1097.17,1.66,637.56,FlyingDrops,11/16/2019,3,Hotel A,Florianopolis (SC),2,313.02,626.04,11/14/2019,4You,Anna Broyles,female,63
235,3,Brasilia (DF),Florianopolis (SC),economic,889.07,1.66,637.56,Rainbow,11/28/2019,3,Hotel A,Florianopolis (SC),3,313.02,939.06,11/28/2019,4You,Bonnie Martinez,female,49
235,3,Florianopolis (SC),Brasilia (DF),economic,555.01,1.66,637.56,Rainbow,12/01/2019,3,Hotel A,Florianopolis (SC),3,313.02,939.06,11/28/2019,4You,Bonnie Martinez,female,49
238,3,Recife (PE),Florianopolis (SC),premium,1070.54,1.76,676.53,Rainbow,12/19/2019,3,Hotel A,Florianopolis (SC),2,313.02,626.04,12/19/2019,4You,Charles Baker,male,38
238,3,Florianopolis (SC),Recife (PE),premium,1013.4,1.76,676.53,Rainbow,12/21/2019,3,Hotel A,Florianopolis (SC),2,313.02,626.04,12/19/2019,4You,Charles Baker,male,38
